name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-35173,65744,26,216.78468429,53.1599,3.8722000000000003,9.4e-05,68.148,291.9623,920.6277306,0.0008317600000000001,U,active,1 65744U 25216L   26216.78468429  .00027812  00000+0  83176-3 0  9994,2 65744  53.1599   3.8722 0000940  68.1480 291.9623 15.34379551 49280,6840.901019619545,93.8490088102067,469.90101961954497
STARLINK-34808,65745,26,217.00002315,53.1596,3.434,0.0001094,71.2277,108.2957,920.6357141999999,-0.00027064,U,active,1 65745U 25216M   26217.00002315 -.00009507  00000+0 -27064-3 0  9996,2 65745  53.1596   3.4340 0001094  71.2277 108.2957 15.34392857  5736,6840.8614707907855,93.8481949671902,469.86147079078546
STARLINK-34704,65746,26,216.41911507,53.161,5.8531,7.99e-05,57.8185,302.2895,920.6429448000001,0.00096601,U,active,1 65746U 25216N   26216.41911507  .00032408  00000+0  96601-3 0  9990,2 65746  53.1610   5.8531 0000799  57.8185 302.2895 15.34404908 49164,6840.8256526356745,93.84745789668706,469.8256526356745
STARLINK-35214,65747,26,217.11878219,53.161,2.3971,0.0001378,90.1674,269.9486,920.6263356,0.00069953,U,active,1 65747U 25216P   26217.11878219  .00023315  00000+0  69953-3 0  9998,2 65747  53.1610   2.3971 0001378  90.1674 269.9486 15.34377226 49282,6840.907930171737,93.84915101705244,469.90793017173655
STARLINK-35265,65748,26,217.09984798,53.1581,2.2846,0.0001051,61.0344,299.0764,920.6330196,0.0007325000000000001,U,active,1 65748U 25216Q   26217.09984798  .00024444  00000+0  73250-3 0  9995,2 65748  53.1581   2.2846 0001051  61.0344 299.0764 15.34388366 48200,6840.8748191253435,93.84846965139202,469.8748191253435
STARLINK-35288,65749,26,217.12720307,53.1619,2.4532,5.69e-05,179.5076,180.5927,920.6248224000002,0.00061124,U,active,1 65749U 25216R   26217.12720307  .00020315  00000+0  61124-3 0  9994,2 65749  53.1619   2.4532 0000569 179.5076 180.5927 15.34374704 49259,6840.915426282922,93.8493052737397,469.91542628292245
STARLINK-35165,65750,26,217.10404873,53.15970000000001,2.3096,4.11e-05,146.5373,213.56560000000002,920.6377944000002,0.00070739,U,active,1 65750U 25216S   26217.10404873  .00023597  00000+0  70739-3 0  9998,2 65750  53.1597   2.3096 0000411 146.5373 213.5656 15.34396324 49258,6840.851166075599,93.84798291526667,469.8511660755994
STARLINK-35260,65751,26,217.12509486,53.15970000000001,2.4365,0.0001189,90.9334,269.1805,920.6326968000001,0.0006686600000000001,U,active,1 65751U 25216T   26217.12509486  .00022274  00000+0  66866-3 0  9994,2 65751  53.1597   2.4365 0001189  90.9334 269.1805 15.34387828 49286,6840.876418195397,93.84850255733389,469.8764181953966
STARLINK-34893,65752,26,216.8162453,53.1617,4.0693,5.29e-05,15.6028,344.4991,920.6430552,0.0009734300000000001,U,active,1 65752U 25216U   26216.81624530  .00032661  00000+0  97343-3 0  9993,2 65752  53.1617   4.0693 0000529  15.6028 344.4991 15.34405092 49202,6840.825105751867,93.84744664285824,469.82510575186734
STARLINK-34894,65753,26,216.69649455,53.1613,4.7395,6.91e-05,40.1126,319.9928,920.62314,0.00075935,U,active,1 65753U 25216V   26216.69649455  .00025343  00000+0  75935-3 0  9995,2 65753  53.1613   4.7395 0000691  40.1126 319.9928 15.34371900 49181,6840.923760603528,93.84947677939095,469.9237606035276
